service_date,role,assignee_name
2025-09-01,late_shift,Bartosz Kowal
2025-09-01,primary,Anna Wróbel
2025-09-01,secondary,Bartosz Kowal
2025-09-02,late_shift,Dawid Lewandowski
2025-09-02,primary,Celina Mazur
2025-09-02,secondary,Dawid Lewandowski
2025-09-03,late_shift,Anna Wróbel
2025-09-03,primary,Bartosz Kowal
2025-09-03,secondary,Anna Wróbel
2025-09-04,late_shift,Celina Mazur
2025-09-04,primary,Dawid Lewandowski
2025-09-04,secondary,Celina Mazur
2025-09-05,late_shift,Halina Szymańska
2025-09-05,primary,Elżbieta Kaczmarek
2025-09-05,secondary,Halina Szymańska
2025-09-06,primary,Grzegorz Zieliński
2025-09-06,secondary,Robert Baran
2025-09-07,primary,Grzegorz Zieliński
2025-09-07,secondary,Robert Baran
2025-09-08,late_shift,Elżbieta Kaczmarek
2025-09-08,primary,Halina Szymańska
2025-09-08,secondary,Elżbieta Kaczmarek
2025-09-09,late_shift,Igor Wójcik
2025-09-09,primary,Tomasz Krawczyk
2025-09-09,secondary,Igor Wójcik
2025-09-10,late_shift,Tomasz Krawczyk
2025-09-10,primary,Robert Baran
2025-09-10,secondary,Grzegorz Zieliński
2025-09-11,late_shift,Tomasz Krawczyk
2025-09-11,primary,Anna Wróbel
2025-09-11,secondary,Tomasz Krawczyk
2025-09-12,late_shift,Celina Mazur
2025-09-12,primary,Bartosz Kowal
2025-09-12,secondary,Celina Mazur
2025-09-13,primary,Dawid Lewandowski
2025-09-13,secondary,Anna Wróbel
2025-09-14,primary,Dawid Lewandowski
2025-09-14,secondary,Anna Wróbel
2025-09-15,late_shift,Bartosz Kowal
2025-09-15,primary,Celina Mazur
2025-09-15,secondary,Bartosz Kowal
2025-09-16,late_shift,Halina Szymańska
2025-09-16,primary,Elżbieta Kaczmarek
2025-09-16,secondary,Halina Szymańska
2025-09-17,late_shift,Dawid Lewandowski
2025-09-17,primary,Robert Baran
2025-09-17,secondary,Dawid Lewandowski
2025-09-18,late_shift,Elżbieta Kaczmarek
2025-09-18,primary,Halina Szymańska
2025-09-18,secondary,Elżbieta Kaczmarek
2025-09-19,late_shift,Igor Wójcik
2025-09-19,primary,Tomasz Krawczyk
2025-09-19,secondary,Igor Wójcik
2025-09-20,primary,Bartosz Kowal
2025-09-20,secondary,Tomasz Krawczyk
2025-09-21,primary,Bartosz Kowal
2025-09-21,secondary,Tomasz Krawczyk
2025-09-22,late_shift,Robert Baran
2025-09-22,primary,Anna Wróbel
2025-09-22,secondary,Grzegorz Zieliński
2025-09-23,late_shift,Dawid Lewandowski
2025-09-23,primary,Celina Mazur
2025-09-23,secondary,Dawid Lewandowski
2025-09-24,late_shift,Anna Wróbel
2025-09-24,primary,Elżbieta Kaczmarek
2025-09-24,secondary,Grzegorz Zieliński
2025-09-25,late_shift,Bartosz Kowal
2025-09-25,primary,Halina Szymańska
2025-09-25,secondary,Bartosz Kowal
2025-09-26,late_shift,Celina Mazur
2025-09-26,primary,Robert Baran
2025-09-26,secondary,Celina Mazur
2025-09-27,primary,Elżbieta Kaczmarek
2025-09-27,secondary,Halina Szymańska
2025-09-28,primary,Elżbieta Kaczmarek
2025-09-28,secondary,Halina Szymańska
2025-09-29,late_shift,Igor Wójcik
2025-09-29,primary,Tomasz Krawczyk
2025-09-29,secondary,Igor Wójcik
2025-09-30,late_shift,Robert Baran
2025-09-30,primary,Anna Wróbel
2025-09-30,secondary,Grzegorz Zieliński
2025-10-01,late_shift,Elżbieta Kaczmarek
2025-10-01,primary,Celina Mazur
2025-10-01,secondary,Elżbieta Kaczmarek
2025-10-02,late_shift,Bartosz Kowal
2025-10-02,primary,Halina Szymańska
2025-10-02,secondary,Bartosz Kowal
2025-10-03,late_shift,Celina Mazur
2025-10-03,primary,Robert Baran
2025-10-03,secondary,Celina Mazur
2025-10-04,primary,Tomasz Krawczyk
2025-10-04,secondary,Igor Wójcik
2025-10-05,primary,Tomasz Krawczyk
2025-10-05,secondary,Igor Wójcik
2025-10-06,late_shift,Dawid Lewandowski
2025-10-06,primary,Anna Wróbel
2025-10-06,secondary,Dawid Lewandowski
2025-10-07,late_shift,Elżbieta Kaczmarek
2025-10-07,primary,Celina Mazur
2025-10-07,secondary,Elżbieta Kaczmarek
2025-10-08,late_shift,Robert Baran
2025-10-08,primary,Grzegorz Zieliński
2025-10-08,secondary,Robert Baran
2025-10-09,late_shift,Bartosz Kowal
2025-10-09,primary,Halina Szymańska
2025-10-09,secondary,Bartosz Kowal
2025-10-10,late_shift,Anna Wróbel
2025-10-10,primary,Robert Baran
2025-10-10,secondary,Grzegorz Zieliński
2025-10-11,primary,Celina Mazur
2025-10-11,secondary,Dawid Lewandowski
2025-10-12,primary,Celina Mazur
2025-10-12,secondary,Dawid Lewandowski
2025-10-13,late_shift,Elżbieta Kaczmarek
2025-10-13,primary,Anna Wróbel
2025-10-13,secondary,Elżbieta Kaczmarek
2025-10-14,late_shift,Tomasz Krawczyk
2025-10-14,primary,Grzegorz Zieliński
2025-10-14,secondary,Tomasz Krawczyk
2025-10-15,late_shift,Celina Mazur
2025-10-15,primary,Dawid Lewandowski
2025-10-15,secondary,Celina Mazur
2025-10-16,late_shift,Anna Wróbel
2025-10-16,primary,Halina Szymańska
2025-10-16,secondary,Anna Wróbel
2025-10-17,late_shift,Halina Szymańska
2025-10-17,primary,Robert Baran
2025-10-17,secondary,Grzegorz Zieliński
2025-10-18,primary,Bartosz Kowal
2025-10-18,secondary,Elżbieta Kaczmarek
2025-10-19,primary,Bartosz Kowal
2025-10-19,secondary,Elżbieta Kaczmarek
2025-10-20,late_shift,Robert Baran
