service_date,role,assignee_name
2025-06-01,primary,Anna Kowalska
2025-06-01,secondary,Julia Nowak
2025-06-02,late_shift,Anna Kowalska
2025-06-02,primary,Katarzyna Dąbrowska
2025-06-02,secondary,Tomasz Szymański
2025-06-03,late_shift,Julia Nowak
2025-06-03,primary,Katarzyna Dąbrowska
2025-06-03,secondary,Tomasz Szymański
2025-06-04,late_shift,Katarzyna Dąbrowska
2025-06-04,primary,Katarzyna Dąbrowska
2025-06-04,secondary,Tomasz Szymański
2025-06-05,late_shift,Marek Wiśniewski
2025-06-05,primary,Magdalena Woźniak
2025-06-05,secondary,Marek Wiśniewski
2025-06-06,late_shift,Marek Wiśniewski
2025-06-06,primary,Magdalena Woźniak
2025-06-06,secondary,Marek Wiśniewski
2025-06-07,primary,Ola Zielińska
2025-06-07,secondary,Piotr Lewandowski
2025-06-08,primary,Ola Zielińska
2025-06-08,secondary,Piotr Lewandowski
2025-06-09,late_shift,Rafał Kamiński
2025-06-09,primary,Julia Nowak
2025-06-09,secondary,Rafał Kamiński
2025-06-10,late_shift,Rafał Kamiński
2025-06-10,primary,Julia Nowak
2025-06-10,secondary,Rafał Kamiński
2025-06-11,late_shift,Rafał Kamiński
2025-06-11,primary,Julia Nowak
2025-06-11,secondary,Rafał Kamiński
2025-06-12,late_shift,Magdalena Woźniak
2025-06-12,primary,Tomasz Szymański
2025-06-12,secondary,Magdalena Woźniak
2025-06-13,late_shift,Magdalena Woźniak
2025-06-13,primary,Tomasz Szymański
2025-06-13,secondary,Magdalena Woźniak
2025-06-14,primary,Marek Wiśniewski
2025-06-14,secondary,Katarzyna Dąbrowska
2025-06-15,primary,Marek Wiśniewski
2025-06-15,secondary,Katarzyna Dąbrowska
2025-06-16,late_shift,Ola Zielińska
2025-06-16,primary,Piotr Lewandowski
2025-06-16,secondary,Ola Zielińska
2025-06-17,late_shift,Ola Zielińska
2025-06-17,primary,Piotr Lewandowski
2025-06-17,secondary,Ola Zielińska
2025-06-18,late_shift,Ola Zielińska
2025-06-18,primary,Piotr Lewandowski
2025-06-18,secondary,Ola Zielińska
2025-06-19,primary,Anna Kowalska
2025-06-19,secondary,Julia Nowak
2025-06-20,late_shift,Anna Kowalska
2025-06-20,primary,Magdalena Woźniak
2025-06-20,secondary,Anna Kowalska
2025-06-21,primary,Tomasz Szymański
2025-06-21,secondary,Magdalena Woźniak
2025-06-22,primary,Tomasz Szymański
