service_date,role,assignee_name
2025-09-01,late_shift,Beata Lis
2025-09-01,primary,Adam Nowicki
2025-09-01,secondary,Beata Lis
2025-09-02,late_shift,Dorota Pawlak
2025-09-02,primary,Cezary Dudek
2025-09-02,secondary,Dorota Pawlak
2025-09-03,late_shift,Filip Górski
2025-09-03,primary,Emil Zając
2025-09-03,secondary,Filip Górski
2025-09-04,late_shift,Hubert Baran
2025-09-04,primary,Grażyna Wilk
2025-09-04,secondary,Hubert Baran
2025-09-05,late_shift,Adam Nowicki
2025-09-05,primary,Iwona Sadowska
2025-09-05,secondary,Adam Nowicki
2025-09-06,primary,Beata Lis
2025-09-06,secondary,Cezary Dudek
2025-09-07,primary,Beata Lis
2025-09-07,secondary,Cezary Dudek
2025-09-08,late_shift,Cezary Dudek
2025-09-08,primary,Dorota Pawlak
2025-09-08,secondary,Emil Zając
2025-09-09,late_shift,Grażyna Wilk
2025-09-09,primary,Filip Górski
2025-09-09,secondary,Grażyna Wilk
2025-09-10,late_shift,Iwona Sadowska
2025-09-10,primary,Hubert Baran
2025-09-10,secondary,Iwona Sadowska
2025-09-11,late_shift,Dorota Pawlak
2025-09-11,primary,Adam Nowicki
2025-09-11,secondary,Dorota Pawlak
2025-09-12,late_shift,Filip Górski
2025-09-12,primary,Emil Zając
2025-09-12,secondary,Filip Górski
2025-09-13,primary,Grażyna Wilk
2025-09-13,secondary,Hubert Baran
2025-09-14,primary,Grażyna Wilk
2025-09-14,secondary,Hubert Baran
2025-09-15,late_shift,Adam Nowicki
2025-09-15,primary,Iwona Sadowska
2025-09-15,secondary,Adam Nowicki
2025-09-16,late_shift,Beata Lis
2025-09-16,primary,Dorota Pawlak
2025-09-16,secondary,Emil Zając
2025-09-17,late_shift,Iwona Sadowska
2025-09-17,primary,Filip Górski
2025-09-17,secondary,Iwona Sadowska
2025-09-18,late_shift,Beata Lis
2025-09-18,primary,Cezary Dudek
2025-09-18,secondary,Beata Lis
2025-09-19,late_shift,Dorota Pawlak
2025-09-19,primary,Adam Nowicki
2025-09-19,secondary,Dorota Pawlak
2025-09-20,primary,Emil Zając
2025-09-20,secondary,Filip Górski
2025-09-21,primary,Emil Zając
2025-09-21,secondary,Filip Górski
2025-09-22,late_shift,Grażyna Wilk
2025-09-22,primary,Hubert Baran
2025-09-22,secondary,Grażyna Wilk
2025-09-23,late_shift,Adam Nowicki
2025-09-23,primary,Iwona Sadowska
2025-09-23,secondary,Adam Nowicki
2025-09-24,late_shift,Iwona Sadowska
2025-09-24,primary,Dorota Pawlak
2025-09-24,secondary,Iwona Sadowska
2025-09-25,late_shift,Beata Lis
2025-09-25,primary,Cezary Dudek
2025-09-25,secondary,Beata Lis
2025-09-26,late_shift,Grażyna Wilk
2025-09-26,primary,Hubert Baran
2025-09-26,secondary,Grażyna Wilk
2025-09-27,primary,Adam Nowicki
2025-09-27,secondary,Dorota Pawlak
2025-09-28,primary,Adam Nowicki
2025-09-28,secondary,Dorota Pawlak
2025-09-29,late_shift,Cezary Dudek
2025-09-29,primary,Filip Górski
2025-09-29,secondary,Emil Zając
2025-09-30,late_shift,Beata Lis
2025-09-30,primary,Iwona Sadowska
2025-09-30,secondary,Beata Lis
2025-10-01,late_shift,Iwona Sadowska
2025-10-01,primary,Cezary Dudek
2025-10-01,secondary,Iwona Sadowska
2025-10-02,late_shift,Grażyna Wilk
2025-10-02,primary,Hubert Baran
2025-10-02,secondary,Grażyna Wilk
2025-10-03,late_shift,Hubert Baran
2025-10-03,primary,Filip Górski
2025-10-03,secondary,Emil Zając
2025-10-04,primary,Iwona Sadowska
2025-10-04,secondary,Adam Nowicki
2025-10-05,primary,Iwona Sadowska
2025-10-05,secondary,Adam Nowicki
2025-10-06,late_shift,Cezary Dudek
2025-10-06,primary,Beata Lis
2025-10-06,secondary,Cezary Dudek
2025-10-07,late_shift,Beata Lis
2025-10-07,primary,Dorota Pawlak
2025-10-07,secondary,Beata Lis
2025-10-08,late_shift,Grażyna Wilk
2025-10-08,primary,Cezary Dudek
2025-10-08,secondary,Grażyna Wilk
2025-10-09,late_shift,Filip Górski
2025-10-09,primary,Hubert Baran
2025-10-09,secondary,Emil Zając
2025-10-10,late_shift,Beata Lis
2025-10-10,primary,Filip Górski
2025-10-10,secondary,Beata Lis
2025-10-11,primary,Dorota Pawlak
2025-10-11,secondary,Cezary Dudek
2025-10-12,primary,Dorota Pawlak
2025-10-12,secondary,Cezary Dudek
2025-10-13,late_shift,Hubert Baran
2025-10-13,primary,Grażyna Wilk
2025-10-13,secondary,Hubert Baran
2025-10-14,late_shift,Iwona Sadowska
2025-10-14,primary,Beata Lis
2025-10-14,secondary,Iwona Sadowska
2025-10-15,late_shift,Adam Nowicki
2025-10-15,primary,Filip Górski
2025-10-15,secondary,Emil Zając
2025-10-16,late_shift,Grażyna Wilk
2025-10-16,primary,Hubert Baran
2025-10-16,secondary,Grażyna Wilk
2025-10-17,late_shift,Iwona Sadowska
2025-10-17,primary,Beata Lis
2025-10-17,secondary,Iwona Sadowska
2025-10-18,primary,Emil Zając
2025-10-18,secondary,Filip Górski
2025-10-19,primary,Emil Zając
2025-10-19,secondary,Filip Górski
2025-10-20,late_shift,Grażyna Wilk
2025-10-20,primary,Cezary Dudek
2025-10-20,secondary,Grażyna Wilk
2025-10-21,late_shift,Beata Lis
2025-10-21,primary,Hubert Baran
2025-10-21,secondary,Beata Lis
2025-10-22,late_shift,Hubert Baran
2025-10-22,primary,Grażyna Wilk
2025-10-22,secondary,Hubert Baran
2025-10-23,late_shift,Iwona Sadowska
2025-10-23,primary,Cezary Dudek
2025-10-23,secondary,Iwona Sadowska
2025-10-24,late_shift,Beata Lis
2025-10-24,primary,Adam Nowicki
2025-10-24,secondary,Beata Lis
2025-10-25,primary,Grażyna Wilk
2025-10-25,secondary,Hubert Baran
2025-10-26,primary,Grażyna Wilk
2025-10-26,secondary,Hubert Baran
2025-10-27,late_shift,Cezary Dudek
2025-10-27,primary,Filip Górski
2025-10-27,secondary,Emil Zając
2025-10-28,late_shift,Adam Nowicki
2025-10-28,primary,Beata Lis
2025-10-28,secondary,Adam Nowicki
2025-10-29,late_shift,Dorota Pawlak
2025-10-29,primary,Cezary Dudek
2025-10-29,secondary,Dorota Pawlak
2025-10-30,late_shift,Iwona Sadowska
2025-10-30,primary,Filip Górski
2025-10-30,secondary,Iwona Sadowska
2025-10-31,late_shift,Filip Górski
2025-10-31,primary,Adam Nowicki
2025-10-31,secondary,Emil Zając
2025-11-01,primary,Beata Lis
2025-11-01,secondary,Iwona Sadowska
2025-11-02,primary,Beata Lis
2025-11-02,secondary,Iwona Sadowska
2025-11-03,late_shift,Grażyna Wilk
2025-11-03,primary,Dorota Pawlak
2025-11-03,secondary,Grażyna Wilk
2025-11-04,late_shift,Adam Nowicki
2025-11-04,primary,Hubert Baran
2025-11-04,secondary,Adam Nowicki
2025-11-05,late_shift,Dorota Pawlak
2025-11-05,primary,Cezary Dudek
2025-11-05,secondary,Dorota Pawlak
2025-11-06,late_shift,Cezary Dudek
2025-11-06,primary,Filip Górski
2025-11-06,secondary,Emil Zając
2025-11-07,late_shift,Grażyna Wilk
2025-11-07,primary,Hubert Baran
2025-11-07,secondary,Grażyna Wilk
2025-11-08,primary,Adam Nowicki
2025-11-08,secondary,Beata Lis
2025-11-09,primary,Adam Nowicki
2025-11-09,secondary,Beata Lis
2025-11-10,late_shift,Dorota Pawlak
2025-11-10,primary,Cezary Dudek
2025-11-10,secondary,Dorota Pawlak
2025-11-11,primary,Iwona Sadowska
2025-11-11,secondary,Cezary Dudek
2025-11-12,late_shift,Filip Górski
2025-11-12,primary,Dorota Pawlak
2025-11-12,secondary,Emil Zając
2025-11-13,late_shift,Grażyna Wilk
2025-11-13,primary,Filip Górski
2025-11-13,secondary,Grażyna Wilk
2025-11-14,late_shift,Adam Nowicki
2025-11-14,primary,Hubert Baran
2025-11-14,secondary,Adam Nowicki
2025-11-15,primary,Dorota Pawlak
2025-11-15,secondary,Emil Zając
2025-11-16,primary,Dorota Pawlak
2025-11-16,secondary,Emil Zając
2025-11-17,late_shift,Grażyna Wilk
2025-11-17,primary,Filip Górski
2025-11-17,secondary,Grażyna Wilk
2025-11-18,late_shift,Filip Górski
2025-11-18,primary,Cezary Dudek
2025-11-18,secondary,Filip Górski
2025-11-19,late_shift,Adam Nowicki
2025-11-19,primary,Hubert Baran
2025-11-19,secondary,Adam Nowicki
2025-11-20,late_shift,Cezary Dudek
2025-11-20,primary,Iwona Sadowska
2025-11-20,secondary,Cezary Dudek
2025-11-21,late_shift,Dorota Pawlak
2025-11-21,primary,Emil Zając
2025-11-21,secondary,Dorota Pawlak
2025-11-22,primary,Filip Górski
2025-11-22,secondary,Grażyna Wilk
2025-11-23,primary,Filip Górski
2025-11-23,secondary,Grażyna Wilk
2025-11-24,late_shift,Adam Nowicki
2025-11-24,primary,Hubert Baran
2025-11-24,secondary,Adam Nowicki
2025-11-25,late_shift,Hubert Baran
2025-11-25,primary,Cezary Dudek
2025-11-25,secondary,Hubert Baran
2025-11-26,late_shift,Dorota Pawlak
2025-11-26,primary,Iwona Sadowska
2025-11-26,secondary,Dorota Pawlak
2025-11-27,late_shift,Beata Lis
2025-11-27,primary,Emil Zając
2025-11-27,secondary,Beata Lis
2025-11-28,late_shift,Filip Górski
2025-11-28,primary,Cezary Dudek
2025-11-28,secondary,Filip Górski
2025-11-29,primary,Hubert Baran
